"artist_name","avg_popularity"
"Jasleen Royal","79.0"
"Himesh Reshammiya","78.5"
"Sachin-Jigar","76.0"
"Badshah","74.0"
"Anirudh Ravichander","74.0"
"Shankar-Ehsaan-Loy","74.0"
"Tanishk Bagchi","73.5"
"Jeet Gannguli","73.0"
"Javed-Mohsin","73.0"
"A.R. Rahman","71.66666666666667"
"Shaarib Toshi","71.5"
"Mithoon","71.2"
"Amit Trivedi","69.5"
"Aditya Rikhari","69.0"
"Jubin Nautiyal","69.0"
"White Noise Collectives","69.0"
"Faheem Abdullah","67.0"
"Guru Randhawa","66.5"
"Ram Sampath","66.0"
"Manan Bhardwaj","62.5"
"Sushant KC","62.0"
"Arijit Singh","61.75"
"Pritam","59.16"
"Sachet-Parampara","58.0"
"Himonshu Parikh","57.0"
"Afsana Khan","56.0"
"Amaal Mallik","53.0"
"Josh Brar","52.0"
"Shaan","40.0"
