"album_name","total_songs"
"Love Forever With Arijit Singh","7"
"WITHOUT PREJUDICE","2"
"Rocky Aur Rani Kii Prem Kahaani","2"
"Aashiqui 2","2"
"Sanam Teri Kasam (Original Motion Picture Soundtrack)","1"
"Genius (Original Motion Picture Soundtrack)","1"
"""Tu Hain Toh Main Hoon (From """"Sky Force"""")""","1"
"Tamasha","1"
"Humpty Sharma Ki Dulhania (Original Motion Picture Soundtrack)","1"
"""Ve Kamleya (From """"Rocky Aur Rani Kii Prem Kahaani"""")""","1"
"""Bolna (From """"Kapoor & Sons (Since 1921)"""")""","1"
"Heeriye (feat. Arijit Singh)","1"
"""Ae Dil Hai Mushkil Title Track (From """"Ae Dil Hai Mushkil"""")""","1"
"Laapataa Ladies","1"
"""Dil E Nadaan (From """"Housefull 5"""")""","1"
"""Jaane Tu (From """"Chhaava"""")""","1"
"""Rait Zara Si (From """"Atrangi Re"""")""","1"
"Pal","1"
"""Silsila (From """"Dhoom Dhaam"""")""","1"
"City Sessions","1"
"""Oonchi Oonchi Deewarein (From """"Yaariyan 2"""")""","1"
"Agent Vinod","1"
"""O Bedardeya (From """"Tu Jhoothi Main Makkaar"""")""","1"
"""Mere Yaaraa (From """"Sooryavanshi"""")""","1"
"Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition]","1"
"Ho Jaa","1"
"Dangal (Original Motion Picture Soundtrack)","1"
"Kedarnath (Original Motion Picture Soundtrack)","1"
"""Sar Aankhon Pe Mere (From """"Sitaare Zameen Par"""")""","1"
"Kesari (Original Motion Picture Soundtrack)","1"
"""Pal Pal Dil Ke Paas - Title Track (From """"Pal Pal Dil Ke Paas"""")""","1"
"Barfi! (Original Motion Picture Soundtrack)","1"
"Citylights (Original Motion Picture Soundtrack)","1"
"Goliyon Ki Raasleela Ram-Leela (Original Motion Picture Soundtrack)","1"
"Zaroorat Se Zyada","1"
"Kabir Singh","1"
"Badhaai Do (Original Motion Picture Soundtrack)","1"
"Yeh Jawaani Hai Deewani","1"
"Murder 2","1"
"""Zamaana Lage (From """"Metro ... In Dino"""")""","1"
"""Chal Ghar Chalen (From """"Malang - Unleash The Madness"""") [Mithoon feat. Arijit Singh]""","1"
"""Tujhe Kitna Chahne Lage (From """"Kabir Singh"""")""","1"
"Intezaar","1"
"""Satranga (From """"ANIMAL"""")""","1"
"""O Maahi (From """"Dunki"""")""","1"
"""Dil Ka Kya (From """"Metro ... In Dino"""")""","1"
"Bhediya (Original Motion Picture Soundtrack)","1"
"Ishq Mera (Feat. Esha Gupta)","1"
"Love Aaj Kal (Original Motion Picture Soundtrack)","1"
"""Tere Pyaar Mein (From """"Tu Jhoothi Main Makkaar"""")""","1"
"""Tainu Khabar Nahi (From """"Munjya"""")""","1"
"R... Rajkumar (Original Motion Picture Soundtrack)","1"
"Galiyon Ke Ghalib","1"
"Raatein Guzaari","1"
"Raees (Original Motion Picture Soundtrack)","1"
"Hamari Adhuri Kahani (Original Motion Picture Soundtrack)","1"
"Half Girlfriend (Original Motion Picture Soundtrack)","1"
"""Sajde (From """"Lost;Found"""")""","1"
"Uff","1"
"""Chaleya (From """"Jawan"""")""","1"
"""Tere Hawaale (From """"Laal Singh Chaddha"""")""","1"
"2 States","1"
"""Ruaan (From """"Tiger 3"""")""","1"
"Gadar 2 (Original Motion Picture Soundtrack)","1"
"""Lutt Putt Gaya (From """"Dunki"""")""","1"
"Phirse Milo","1"
"War","1"
"""Bandeya (From """"Dil Juunglee"""")""","1"
"CIRCLES","1"
"""Kesariya (From """"Brahmastra"""")""","1"
"Chhichhore","1"
"""Tu Saath Hai Toh (From """"Master Of Melody"""")""","1"
"Jab Harry Met Sejal (Original Motion Picture Soundtrack)","1"
"Kalank (Original Motion Picture Soundtrack)","1"
"Sahilon Ki Hawa","1"
"""Deva Deva (From """"Brahmastra"""")""","1"
"Dil Haareya","1"
"Badlapur (Original Motion Picture Soundtrack)","1"
"Heartless","1"
"Sonu Ke Titu Ki Sweety","1"
"Pati Patni Aur Woh","1"
"Heart & Pain","1"
"""Pyaar Hota Kayi Baar Hai (From """"Tu Jhoothi Main Makkaar"""")""","1"
"83 (Original Motion Picture Soundtrack)","1"
"Raabta","1"
"""Pachtaoge (From """"Jaani Ve"""")""","1"
